country,state,city,code,taxRate
USA,,,,0.0
USA,WI,,,5.0
USA,WI,,53701,0.5
USA,WI,,53702,0.5
USA,WI,,53703,0.5
USA,WI,,53704,0.5
USA,,,97123,0.0
USA,CA,Acampo,,7.750
USA,CA,Acton,,8.250
USA,CA,Adelaida,,7.250
USA,CA,Adelanto,,7.750
USA,CA,Adin,,7.250
USA,CA,Agoura,,8.250
USA,CA,Agoura Hills,,8.250
USA,CA,Agua Caliente,,7.750
USA,CA,Agua Caliente Springs,,7.750
USA,CA,Agua Dulce,,8.250
USA,CA,Aguanga,,7.750
USA,CA,Ahwahnee,,7.750
USA,CA,Al Tahoe,,7.250
USA,CA,Alameda,,8.750
USA,CA,Alamo,,8.250
USA,CA,Albany,,8.750
USA,CA,Alberhill (Lake Elsinore),,7.750
USA,CA,Albion,,7.250
USA,CA,Alderpoint,,7.250
USA,CA,Alhambra,,8.250
USA,CA,Aliso Viejo,,7.750
USA,CA,Alleghany,,7.250
USA,CA,Almaden Valley,,8.250
USA,CA,Almanor,,7.250
USA,CA,Almondale,,8.250
USA,CA,Alondra,,8.250
USA,CA,Alpaugh,,7.750
USA,CA,Alpine,,7.750
USA,CA,Alta,,7.250
USA,CA,Alta Loma (Rancho Cucamonga),,7.750
USA,CA,Altadena,,8.250
USA,CA,Altaville,,7.250
USA,CA,Alton,,7.250
USA,CA,Alturas,,7.250
USA,CA,Alviso (San Jose),,8.250
USA,CA,Amador City,,7.250
USA,CA,Amargosa (Death Valley),,7.750
USA,CA,Amboy,,7.750
USA,CA,American Canyon,,7.750
USA,CA,Anaheim,,7.750
USA,CA,Anderson,,7.250
USA,CA,Angels Camp,,7.250
USA,CA,Angelus Oaks,,7.750
USA,CA,Angwin,,7.750
USA,CA,Annapolis,,7.750
USA,CA,Antelope,,7.750
USA,CA,Antelope Acres,,8.250
USA,CA,Antioch,,8.250
USA,CA,Anza,,7.750
USA,CA,Apple Valley,,7.750
USA,CA,Applegate,,7.250
USA,CA,Aptos,,8.000
USA,CA,Arbuckle,,7.250
USA,CA,Arcadia,,8.250
USA,CA,Arcata,,7.250
USA,CA,Argus,,7.750
USA,CA,Arleta (Los Angeles),,8.250
USA,CA,Arlington (Riverside),,7.750
USA,CA,Armona,,7.250
USA,CA,Army Terminal,,8.750
USA,CA,Arnold,,7.250
USA,CA,Aromas,,7.250
USA,CA,Arrowbear Lake,,7.750
USA,CA,Arrowhead Highlands,,7.750
USA,CA,Arroyo Grande,,7.750
USA,CA,Artesia,,8.250
USA,CA,Artois,,7.250
USA,CA,Arvin,,7.250
USA,CA,Ashland,,8.750
USA,CA,Asti,,7.750
USA,CA,Atascadero,,7.250
USA,CA,Athens,,8.250
USA,CA,Atherton,,8.250
USA,CA,Atwater,,7.250
USA,CA,Atwood,,7.750
USA,CA,Auberry,,7.975
USA,CA,Auburn,,7.250
USA,CA,Avalon,,8.750
USA,CA,Avenal,,7.250
USA,CA,Avery,,7.250
USA,CA,Avila Beach,,7.250
USA,CA,Azusa,,8.250
USA,CA,Badger,,7.750
USA,CA,Bailey,,8.250
USA,CA,Baker,,7.750
USA,CA,Bakersfield,,7.250
USA,CA,Balboa (Newport Beach),,7.750
USA,CA,Balboa Island (Newport Beach),,7.750
USA,CA,Balboa Park (San Diego),,7.750
USA,CA,Baldwin Park,,8.250
USA,CA,Ballard,,7.750
USA,CA,Ballico,,7.250
USA,CA,Ballroad,,7.750
USA,CA,Bangor,,7.250
USA,CA,Banning,,7.750
USA,CA,Banta,,7.750
USA,CA,Bard,,7.750
USA,CA,Barrington,,8.250
USA,CA,Barstow,,7.750
USA,CA,Bartlett,,7.750
USA,CA,Barton,,7.975
USA,CA,Base Line,,7.750
USA,CA,Bass Lake,,7.750
USA,CA,Bassett,,8.250
USA,CA,Baxter,,7.250
USA,CA,Bayside,,7.250
USA,CA,Baywood Park,,7.250
USA,CA,Beale A.F.B.,,7.250
USA,CA,Bear River Lake,,7.250
USA,CA,Bear Valley,,7.250
USA,CA,Bear Valley,,7.750
USA,CA,Beaumont,,7.750
USA,CA,Beckwourth,,7.250
USA,CA,Bel Air Estates,,8.250
USA,CA,Belden,,7.250
USA,CA,Bell Gardens,,8.250
USA,CA,Bell,,8.250
USA,CA,Bella Vista,,7.250
USA,CA,Bellflower,,8.250
USA,CA,Belmont,,8.250
USA,CA,Belvedere,,7.750
USA,CA,Ben Lomond,,8.000
USA,CA,Benicia,,7.375
USA,CA,Benton,,7.250
USA,CA,Berkeley,,8.750
USA,CA,Bermuda Dunes,,7.750
USA,CA,Berry Creek,,7.250
USA,CA,Bethel Island,,8.250
USA,CA,Betteravia,,7.750
USA,CA,Beverly Hills,,8.250
USA,CA,Bieber,,7.250
USA,CA,Big Bar,,7.250
USA,CA,Big Basin,,8.000
USA,CA,Big Bear City,,7.750
USA,CA,Big Bear Lake,,7.750
USA,CA,Big Bend,,7.250
USA,CA,Big Creek,,7.975
USA,CA,Big Oak Flat,,7.250
USA,CA,Big Pine,,7.750
USA,CA,Big River,,7.750
USA,CA,Big Sur,,7.250
USA,CA,Biggs,,7.250
USA,CA,Bijou,,7.250
USA,CA,Biola,,7.975
USA,CA,Biola College (La Mirada),,8.250
USA,CA,Birds Landing,,7.375
USA,CA,Bishop,,7.750
USA,CA,Black Hawk,,8.250
USA,CA,Blairsden,,7.250
USA,CA,Blocksburg,,7.250
USA,CA,Bloomington,,7.750
USA,CA,Blossom Hill,,8.250
USA,CA,Blossom Valley,,8.250
USA,CA,Blue Jay,,7.750
USA,CA,Blue Lake,,7.250
USA,CA,Blythe,,7.750
USA,CA,Bodega,,7.750
USA,CA,Bodega Bay,,7.750
USA,CA,Bodfish,,7.250
USA,CA,Bolinas,,7.750
USA,CA,Bolsa,,7.750
USA,CA,Bombay Beach,,7.750
USA,CA,Bonita,,7.750
USA,CA,Bonny Doon,,8.000
USA,CA,Bonsall,,7.750
USA,CA,Boonville,,7.250
USA,CA,Boron,,7.250
USA,CA,Borrego Springs,,7.750
USA,CA,Bostonia,,7.750
USA,CA,Boulder Creek,,8.000
USA,CA,Boulevard,,7.750
USA,CA,Bouquet Canyon (Santa Clarita),,8.250
USA,CA,Bowman,,7.250
USA,CA,Boyes Hot Springs,,7.750
USA,CA,Bradbury,,8.250
USA,CA,Bradford,,8.750
USA,CA,Bradley,,7.250
USA,CA,Branscomb,,7.250
USA,CA,Brawley,,7.750
USA,CA,Brea,,7.750
USA,CA,Brents Junction,,8.250
USA,CA,Brentwood (Los Angeles),,8.250
USA,CA,Brentwood,,8.250
USA,CA,Briceland,,7.250
USA,CA,Bridgeport,,7.750
USA,CA,Bridgeport,,7.250
USA,CA,Bridgeville,,7.250
USA,CA,Brisbane,,8.250
USA,CA,Broderick (West Sacramento),,7.750
USA,CA,Brookdale,,8.000
USA,CA,Brookhurst Center,,7.750
USA,CA,Brooks,,7.250
USA,CA,Browns Valley,,7.250
USA,CA,Brownsville,,7.250
USA,CA,Bryn Mawr,,7.750
USA,CA,Bryte (West Sacramento),,7.750
USA,CA,Buellton,,7.750
USA,CA,Buena Park,,7.750
USA,CA,Burbank,,8.250
USA,CA,Burlingame,,8.250
USA,CA,Burney,,7.250
USA,CA,Burnt Ranch,,7.250
USA,CA,Burrel,,7.975
USA,CA,Burson,,7.250
USA,CA,Butte City,,7.250
USA,CA,Butte Meadows,,7.250
USA,CA,Buttonwillow,,7.250
USA,CA,Byron,,8.250
USA,CA,Cabazon,,7.750
USA,CA,Cabrillo,,8.250
USA,CA,Cadiz,,7.750
USA,CA,Calabasas Highlands,,8.250
USA,CA,Calabasas Park,,8.250
USA,CA,Calabasas,,8.250
USA,CA,Calexico,,7.750
USA,CA,Caliente,,7.250
USA,CA,California City,,7.250
USA,CA,California Hot Springs,,7.750
USA,CA,California Valley,,7.250
USA,CA,Calimesa,,7.750
USA,CA,Calipatria,,7.750
USA,CA,Calistoga,,7.750
USA,CA,Callahan,,7.250
USA,CA,Calpella,,7.250
USA,CA,Calpine,,7.250
USA,CA,Calwa,,7.975
USA,CA,Camarillo,,7.250
USA,CA,Cambria,,7.250
USA,CA,Cambrian Park,,8.250
USA,CA,Cameron Park,,7.250
USA,CA,Camino,,7.250
USA,CA,Camp Beale,,7.250
USA,CA,Camp Connell,,7.250
USA,CA,Camp Curry,,7.750
USA,CA,Camp Kaweah,,7.750
USA,CA,Camp Meeker,,7.750
USA,CA,Camp Nelson,,7.750
USA,CA,Camp Pendleton,,7.750
USA,CA,Camp Roberts,,7.250
USA,CA,Campbell,,8.250
USA,CA,Campo,,7.750
USA,CA,Campo Seco,,7.250
USA,CA,Camptonville,,7.250
USA,CA,Canby,,7.250
USA,CA,Canoga Annex,,8.250
USA,CA,Canoga Park (Los Angeles),,8.250
USA,CA,Cantil,,7.250
USA,CA,Cantua Creek,,7.975
USA,CA,Canyon,,8.250
USA,CA,Canyon Country (Santa Clarita),,8.250
USA,CA,Canyon Lake,,7.750
USA,CA,Canyondam,,7.250
USA,CA,Capay,,7.250
USA,CA,Capistrano Beach (Dana Point),,7.750
USA,CA,Capitola,,8.250
USA,CA,Cardiff By The Sea (Encinitas),,7.750
USA,CA,Cardwell,,7.975
USA,CA,Carlotta,,7.250
USA,CA,Carlsbad,,7.750
USA,CA,Carmel Rancho,,7.250
USA,CA,Carmel Valley,,7.250
USA,CA,Carmel,,7.250
USA,CA,Carmichael,,7.750
USA,CA,Carnelian Bay,,7.250
USA,CA,Carpinteria,,7.750
USA,CA,Carson,,8.250
USA,CA,Cartago,,7.750
USA,CA,Caruthers,,7.975
USA,CA,Casitas Springs,,7.250
USA,CA,Casmalia,,7.750
USA,CA,Caspar,,7.250
USA,CA,Cassel,,7.250
USA,CA,Castaic,,8.250
USA,CA,Castella,,7.250
USA,CA,Castle A.F.B.,,7.250
USA,CA,Castro Valley,,8.750
USA,CA,Castroville,,7.250
USA,CA,Cathedral City,,7.750
USA,CA,Catheys Valley,,7.750
USA,CA,Cayucos,,7.250
USA,CA,Cazadero,,7.750
USA,CA,Cecilville,,7.250
USA,CA,Cedar,,8.250
USA,CA,Cedar Crest,,7.975
USA,CA,Cedar Glen,,7.750
USA,CA,Cedar Ridge,,7.375
USA,CA,Cedarpines Park,,7.750
USA,CA,Cedarville,,7.250
USA,CA,Central Valley,,7.250
USA,CA,Century City,,8.250
USA,CA,Ceres,,7.875
USA,CA,Cerritos,,8.250
USA,CA,Challenge,,7.250
USA,CA,Chambers Lodge,,7.250
USA,CA,Charter Oak,,8.250
USA,CA,Chatsworth (Los Angeles),,8.250
USA,CA,Cherry Valley,,7.750
USA,CA,Chester,,7.250
USA,CA,Chicago Park,,7.375
USA,CA,Chico,,7.250
USA,CA,Chilcoot,,7.250
USA,CA,China Lake NWC (Ridgecrest),,7.250
USA,CA,Chinese Camp,,7.250
USA,CA,Chino Hills,,7.750
USA,CA,Chino,,7.750
USA,CA,Chiriaco Summit,,7.750
USA,CA,Cholame,,7.250
USA,CA,Chowchilla,,7.750
USA,CA,Chualar,,7.250
USA,CA,Chula Vista,,7.750
USA,CA,Cima,,7.750
USA,CA,Citrus Heights,,7.750
USA,CA,City of Commerce,,8.250
USA,CA,City of Industry,,8.250
USA,CA,City Terrace,,8.250
USA,CA,Claremont,,8.250
USA,CA,Clarksburg,,7.250
USA,CA,Clayton,,8.250
USA,CA,Clear Creek,,7.250
USA,CA,Clearlake Highlands,,7.250
USA,CA,Clearlake Oaks,,7.250
USA,CA,Clearlake Park (Clearlake),,7.750
USA,CA,Clearlake,,7.750
USA,CA,Clements,,7.750
USA,CA,Clinter,,7.975
USA,CA,Clio,,7.250
USA,CA,Clipper Mills,,7.250
USA,CA,Cloverdale,,7.750
USA,CA,Clovis,,8.275
USA,CA,Coachella,,7.750
USA,CA,Coalinga,,7.975
USA,CA,Coarsegold,,7.750
USA,CA,Cobb,,7.250
USA,CA,Cohasset,,7.250
USA,CA,Cole,,8.250
USA,CA,Coleville,,7.250
USA,CA,Colfax,,7.250
USA,CA,College City,,7.250
USA,CA,College Grove Center,,7.750
USA,CA,Colma,,8.250
USA,CA,Coloma,,7.250
USA,CA,Colorado,,7.750
USA,CA,Colton,,7.750
USA,CA,Columbia,,7.250
USA,CA,Colusa,,7.250
USA,CA,Commerce,,8.250
USA,CA,Comptche,,7.250
USA,CA,Compton,,8.250
USA,CA,Concord,,8.250
USA,CA,Cool,,7.250
USA,CA,Copperopolis,,7.250
USA,CA,Corcoran,,7.250
USA,CA,Cornell,,8.250
USA,CA,Corning,,7.250
USA,CA,Corona Del Mar (Newport Beach),,7.750
USA,CA,Corona,,7.750
USA,CA,Coronado,,7.750
USA,CA,Corralitos (Watsonville),,8.250
USA,CA,Corte Madera,,7.750
USA,CA,Coso Junction,,7.750
USA,CA,Costa Mesa,,7.750
USA,CA,Cotati,,7.750
USA,CA,Cottonwood,,7.250
USA,CA,Coulterville,,7.750
USA,CA,Courtland,,7.750
USA,CA,Covelo,,7.250
USA,CA,Covina,,8.250
USA,CA,Cowan Heights,,7.750
USA,CA,Coyote,,8.250
USA,CA,Crannell,,7.250
USA,CA,Crenshaw,,8.250
USA,CA,Crescent City,,7.250
USA,CA,Crescent Mills,,7.250
USA,CA,Cressey,,7.250
USA,CA,Crest Park,,7.750
USA,CA,Cresta Blanca,,8.750
USA,CA,Crestline,,7.750
USA,CA,Creston,,7.250
USA,CA,Crockett,,8.250
USA,CA,Cromberg,,7.250
USA,CA,Cross Roads,,7.750
USA,CA,Crowley Lake (Mammoth Lake),,7.250
USA,CA,Crows Landing,,7.375
USA,CA,Cucamonga (Rancho Cucamonga),,7.750
USA,CA,Cudahy,,8.250
USA,CA,Culver City,,8.250
USA,CA,Cummings,,7.250
USA,CA,Cupertino,,8.250
USA,CA,Curry Village,,7.750
USA,CA,Cutler,,7.750
USA,CA,Cutten,,7.250
USA,CA,Cuyama,,7.750
USA,CA,Cypress,,7.750
USA,CA,Daggett,,7.750
USA,CA,Dairy Farm,,7.375
USA,CA,Daly City,,8.250
USA,CA,Dana Point,,7.750
USA,CA,Danville,,8.250
USA,CA,Dardanelle,,7.250
USA,CA,Darwin,,7.750
USA,CA,Davenport,,8.000
USA,CA,Davis Creek,,7.250
USA,CA,Davis,,7.750
USA,CA,Death Valley,,7.750
USA,CA,Death Valley Junction,,7.750
USA,CA,Deer Park,,7.750
USA,CA,Del Kern (Bakersfield),,7.250
USA,CA,Del Mar Heights (Morro Bay),,7.750
USA,CA,Del Mar,,7.750
USA,CA,Del Monte Park (Monterey),,7.250
USA,CA,Del Rey,,7.975
USA,CA,Del Rey Oaks,,8.250
USA,CA,Del Rosa,,7.750
USA,CA,Del Sur,,8.250
USA,CA,Delano,,8.250
USA,CA,Deleven,,7.250
USA,CA,Delhi,,7.250
USA,CA,Denair,,7.375
USA,CA,Denny,,7.250
USA,CA,Descanso,,7.750
USA,CA,Desert Center,,7.750
USA,CA,Desert Hot Springs,,7.750
USA,CA,Di Giorgio,,7.250
USA,CA,Diablo,,8.250
USA,CA,Diamond Bar,,8.250
USA,CA,Diamond Springs,,7.250
USA,CA,Dillon Beach,,7.750
USA,CA,Dinkey Creek,,7.975
USA,CA,Dinuba,,8.500
USA,CA,Dixon,,7.375
USA,CA,Dobbins,,7.250
USA,CA,Dogtown,,7.750
USA,CA,Dollar Ranch,,8.250
USA,CA,Dorris,,7.250
USA,CA,Dos Palos,,7.250
USA,CA,Dos Rios,,7.250
USA,CA,Douglas City,,7.250
USA,CA,Douglas Flat,,7.250
USA,CA,Downey,,8.250
USA,CA,Downieville,,7.250
USA,CA,Doyle,,7.250
USA,CA,Drytown,,7.250
USA,CA,Duarte,,8.250
USA,CA,Dublin,,8.750
USA,CA,Ducor,,7.750
USA,CA,Dulzura,,7.750
USA,CA,Duncans Mills,,7.750
USA,CA,Dunlap,,7.975
USA,CA,Dunnigan,,7.250
USA,CA,Dunsmuir,,7.250
USA,CA,Durham,,7.250
USA,CA,Dutch Flat,,7.250
USA,CA,Eagle Mountain,,7.750
USA,CA,Eagle Rock (Los Angeles),,8.250
USA,CA,Eagleville,,7.250
USA,CA,Earlimart,,7.750
USA,CA,Earp,,7.750
USA,CA,East Highlands (Highland),,7.750
USA,CA,East Irvine (Irvine),,7.750
USA,CA,East Los Angeles,,8.250
USA,CA,East Lynwood (Lynwood),,8.250
USA,CA,East Nicolaus,,7.250
USA,CA,East Palo Alto,,8.250
USA,CA,East Porterville (Porterville),,8.250
USA,CA,East Rancho Dominguez,,8.250
USA,CA,East San Pedro (Los Angeles),,8.250
USA,CA,Eastgate,,8.250
USA,CA,Easton,,7.975
USA,CA,Eastside,,7.750
USA,CA,Echo Lake,,7.250
USA,CA,Echo Park (Los Angeles),,8.250
USA,CA,Edgemont (Moreno Valley),,7.750
USA,CA,Edgewood,,7.250
USA,CA,Edison,,7.250
USA,CA,Edwards,,7.250
USA,CA,Edwards A.F.B.,,7.250
USA,CA,El Cajon,,8.250
USA,CA,El Centro,,7.750
USA,CA,El Cerrito,,8.250
USA,CA,El Dorado,,7.250
USA,CA,El Dorado Hills,,7.250
USA,CA,El Granada,,8.250
USA,CA,El Macero,,7.250
USA,CA,El Modena,,7.750
USA,CA,El Monte,,8.250
USA,CA,El Nido,,7.250
USA,CA,El Portal,,7.750
USA,CA,El Segundo,,8.250
USA,CA,El Sobrante,,8.250
USA,CA,El Toro (Lake Forest),,7.750
USA,CA,El Toro M.C.A.S.,,7.750
USA,CA,El Verano,,7.750
USA,CA,El Viejo,,7.375
USA,CA,Eldridge,,7.750
USA,CA,Elizabeth Lake,,8.250
USA,CA,Elk,,7.250
USA,CA,Elk Creek,,7.250
USA,CA,Elk Grove,,7.750
USA,CA,Elmira,,7.375
USA,CA,Elmwood,,8.750
USA,CA,Elverta,,7.750
USA,CA,Emerald Hills (Redwood City),,8.250
USA,CA,Emeryville,,8.750
USA,CA,Emigrant Gap,,7.250
USA,CA,Empire,,7.375
USA,CA,Encinitas,,7.750
USA,CA,Encino (Los Angeles),,8.250
USA,CA,Enterprise,,7.250
USA,CA,Escalon,,7.750
USA,CA,Escondido,,7.750
USA,CA,Esparto,,7.250
USA,CA,Essex,,7.750
USA,CA,Etiwanda (Rancho Cucamonga),,7.750
USA,CA,Etna,,7.250
USA,CA,Ettersburg,,7.250
USA,CA,Eureka,,7.250
USA,CA,Exeter,,7.750
USA,CA,Fair Oaks,,7.750
USA,CA,Fairfax,,7.750
USA,CA,Fairfield,,7.375
USA,CA,Fairmount,,8.250
USA,CA,Fall River Mills,,7.250
USA,CA,Fallbrook,,7.750
USA,CA,Fallbrook Junction,,7.750
USA,CA,Fallen Leaf,,7.250
USA,CA,Fallon,,7.750
USA,CA,Fancher,,7.975
USA,CA,Farmersville,,8.250
USA,CA,Farmington,,7.750
USA,CA,Fawnskin,,7.750
USA,CA,Feather Falls,,7.250
USA,CA,Fellows,,7.250
USA,CA,Felton,,8.000
USA,CA,Fenner,,7.750
USA,CA,Fernbridge (Fortuna),,7.250
USA,CA,Ferndale,,7.250
USA,CA,Fiddletown,,7.250
USA,CA,Fields Landing,,7.250
USA,CA,Fig Garden Village (Fresno),,7.975
USA,CA,Fillmore,,7.250
USA,CA,Finley,,7.250
USA,CA,Firebaugh,,7.975
USA,CA,Fish Camp,,7.750
USA,CA,Five Points,,7.975
USA,CA,Flinn Springs,,7.750
USA,CA,Flintridge (LaCanada/ Flintridge),,8.250
USA,CA,Florence,,8.250
USA,CA,Floriston,,7.375
USA,CA,Flournoy,,7.250
USA,CA,Folsom,,7.750
USA,CA,Fontana,,7.750
USA,CA,Foothill Ranch,,7.750
USA,CA,Forbestown,,7.250
USA,CA,Forest Falls,,7.750
USA,CA,Forest Glen,,7.250
USA,CA,Forest Knolls,,7.750
USA,CA,Forest Park,,8.250
USA,CA,Forest Ranch,,7.250
USA,CA,Foresthill,,7.250
USA,CA,Forestville,,7.750
USA,CA,Forks of Salmon,,7.250
USA,CA,Fort Bidwell,,7.250
USA,CA,Fort Bragg,,7.750
USA,CA,Fort Dick,,7.250
USA,CA,Fort Irwin,,7.750
USA,CA,Fort Jones,,7.250
USA,CA,Fort Ord (Seaside),,7.250
USA,CA,Fort Seward,,7.250
USA,CA,Fortuna,,7.250
USA,CA,Foster City,,8.250
USA,CA,Fountain Valley,,7.750
USA,CA,Fowler,,7.975
USA,CA,Frazier Park,,7.250
USA,CA,Freedom,,8.000
USA,CA,Freeport,,7.750
USA,CA,Freestone,,7.750
USA,CA,Fremont,,8.750
USA,CA,French Camp,,7.750
USA,CA,French Gulch,,7.250
USA,CA,Freshwater,,7.250
USA,CA,Fresno,,7.975
USA,CA,Friant,,7.975
USA,CA,Friendly Valley (Santa Clarita),,8.250
USA,CA,Frontera,,7.750
USA,CA,Fullerton,,7.750
USA,CA,Fulton,,7.750
USA,CA,Galt,,7.750
USA,CA,Garberville,,7.250
USA,CA,Garden Grove,,7.750
USA,CA,Garden Valley,,7.250
USA,CA,Gardena,,8.250
USA,CA,Garey,,7.750
USA,CA,Garnet,,7.750
USA,CA,Gasquet,,7.250
USA,CA,Gaviota,,7.750
